country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","02-12-2025 22:00:00",26.80365,84.51954,PM10,71,206,135
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","02-12-2025 22:00:00",26.80365,84.51954,SO2,1,11,6
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","02-12-2025 22:00:00",25.251013,86.989001,NH3,1,1,1
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","02-12-2025 22:00:00",16.536107,80.594233,OZONE,26,63,48
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","02-12-2025 22:00:00",16.509717,80.612222,PM2.5,65,101,79
India,Delhi,Delhi,"Alipur, Delhi - DPCC","02-12-2025 22:00:00",28.815329,77.153010,PM2.5,307,440,378
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.647622,77.3158090,NH3,12,19,15
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.647622,77.3158090,SO2,29,138,114
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.647622,77.3158090,OZONE,5,18,8
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.695381,77.181665,PM2.5,340,471,422
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","02-12-2025 22:00:00",28.4706914,77.1099364,PM2.5,216,423,357
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","02-12-2025 22:00:00",28.4706914,77.1099364,PM10,179,482,387
India,Delhi,Delhi,"Bawana, Delhi - DPCC","02-12-2025 22:00:00",28.776200,77.051074,PM10,279,500,380
India,Delhi,Delhi,"Bawana, Delhi - DPCC","02-12-2025 22:00:00",28.776200,77.051074,NO2,25,107,65
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","02-12-2025 22:00:00",25.599486,85.113666,NO2,16,134,66
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","02-12-2025 22:00:00",25.599486,85.113666,NH3,2,9,7
India,Bihar,Patna,"Samanpura, Patna - BSPCB","02-12-2025 22:00:00",25.596727,85.085624,OZONE,20,26,23
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","02-12-2025 22:00:00",25.366336,87.117468,OZONE,20,55,39
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-12-2025 22:00:00",25.03280,85.41948,PM10,45,131,73
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-12-2025 22:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-12-2025 22:00:00",25.03280,85.41948,SO2,18,24,21
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","02-12-2025 22:00:00",25.892357,86.590325,PM2.5,50,240,101
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","02-12-2025 22:00:00",21.185571,81.343175,CO,21,22,22
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","02-12-2025 22:00:00",21.185571,81.343175,OZONE,8,16,10
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","02-12-2025 22:00:00",22.08815,82.13737,PM10,82,195,109
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","02-12-2025 22:00:00",22.08815,82.13737,SO2,10,30,17
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","02-12-2025 22:00:00",22.118125,83.140608,PM10,53,149,84
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","02-12-2025 22:00:00",22.368195,82.746431,PM2.5,48,87,51
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","02-12-2025 22:00:00",22.368195,82.746431,NO2,11,20,15
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","02-12-2025 22:00:00",21.219665,81.630094,OZONE,3,17,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-12-2025 22:00:00",21.371751,81.664929,PM10,33,164,100
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-12-2025 22:00:00",21.371751,81.664929,NO2,8,65,22
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-12-2025 22:00:00",21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","02-12-2025 22:00:00",22.06631475,83.33820077,PM2.5,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","02-12-2025 22:00:00",22.06631475,83.33820077,PM10,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","02-12-2025 22:00:00",22.06631475,83.33820077,NO2,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","02-12-2025 22:00:00",22.06631475,83.33820077,SO2,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC","02-12-2025 22:00:00",28.776200,77.051074,SO2,9,42,22
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","02-12-2025 22:00:00",28.7256504,77.2011573,PM2.5,321,500,409
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","02-12-2025 22:00:00",28.5512005,77.2735737,PM10,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","02-12-2025 22:00:00",28.656756,77.227234,PM2.5,347,500,418
India,Delhi,Delhi,"DTU, Delhi - CPCB","02-12-2025 22:00:00",28.7500499,77.1112615,OZONE,13,41,28
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","02-12-2025 22:00:00",30.751462,76.762879,NO2,19,66,33
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","02-12-2025 22:00:00",30.751462,76.762879,NH3,3,5,3
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","02-12-2025 22:00:00",30.719859,76.738637,PM2.5,50,322,115
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","02-12-2025 22:00:00",21.194815,81.314770,NO2,17,93,50
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","02-12-2025 22:00:00",21.194815,81.314770,NH3,1,4,3
